time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,station,latitude,longitude,elevation
2024-01-01,26.1,21.0,31.2,0.8,,337.0,6.9,,1011.4,,69377,4.07,-73.55,378.0
2024-01-01,27.0,24.0,32.0,0.0,,331.0,9.6,,1012.2,,78792,9.05,-79.3667,45.0
2024-01-01,27.7,25.0,33.0,0.2,,336.0,12.0,,1012.3,,78808,8.9833,-79.55,66.0
2024-01-01,25.4,23.7,28.1,1.2,,65.0,21.0,,1015.3,,78922,14.7667,-60.8833,33.0
2024-01-01,25.5,22.0,30.0,0.0,,96.0,11.0,40.8,1014.7,,78925,14.6,-61.0,5.0
2024-01-01,25.5,23.0,29.2,,,67.0,7.6,31.5,1014.8,,78946,14.0333,-61.0167,55.0
2024-01-01,26.5,24.5,30.0,0.2,,75.0,16.9,,1014.9,,78947,14.0167,-61.0,2.0
2024-01-01,26.6,24.6,30.0,0.0,,75.0,19.3,31.5,1014.6,,78948,13.75,-60.95,3.0
2024-01-01,25.9,22.7,29.1,0.0,,70.0,17.7,33.3,1013.8,,78954,13.0667,-59.4833,50.0
2024-01-01,26.8,23.6,30.4,0.0,,38.0,9.3,31.5,1014.1,,78958,12.0,-61.7833,6.0
2024-01-01,26.6,24.7,29.9,0.0,,48.0,10.0,,1013.8,,78961,11.15,-60.85,8.0
2024-01-01,27.0,24.9,29.6,0.0,,57.0,6.7,29.6,1013.8,,78962,11.15,-60.8333,3.0
2024-01-01,26.9,22.8,32.2,0.0,,15.0,3.1,25.9,1013.5,,78970,10.6167,-61.35,12.0
2024-01-01,27.6,24.6,30.3,0.0,,80.0,21.8,,1013.8,,78982,12.5,-70.0167,18.0
2024-01-01,27.9,27.0,30.1,1.6,,89.0,18.3,,1014.2,,78988,12.2,-68.9667,9.0
2024-01-01,27.3,25.2,30.5,0.0,,76.0,16.7,,1013.9,,78990,12.15,-68.2833,6.0
2024-01-01,29.3,24.1,35.4,0.0,,49.0,18.1,,1011.7,,80009,11.1333,-74.2333,4.0
2024-01-01,28.8,26.0,31.2,0.0,,22.0,13.2,,1010.8,,80022,10.45,-75.5167,1.0
2024-01-01,28.5,24.3,33.0,0.0,,37.0,18.4,,1011.2,,80028,10.8833,-74.7833,14.0
2024-01-01,26.7,22.0,32.0,1.7,,83.0,20.0,,1013.3,,80035,11.5333,-72.9333,4.0
2024-01-01,29.9,23.7,34.0,0.0,,53.0,24.5,,1012.9,,80036,10.4333,-73.25,138.0
2024-01-01,26.4,22.2,30.8,0.0,,146.0,10.0,,1011.5,,80044,9.3333,-75.2833,81.0
2024-01-01,28.0,24.6,34.0,0.0,,313.0,6.7,,1011.1,,80063,8.8167,-75.85,20.0
2024-01-01,28.1,22.8,31.2,0.0,,0.0,14.9,,1011.7,,80084,7.8167,-76.7,20.0
2024-01-01,26.8,23.1,32.4,8.9,,209.0,7.1,,1011.1,,80091,7.0167,-73.8,126.0
2024-01-01,21.1,17.7,25.2,0.0,,3.0,5.8,,1015.8,,80094,7.1,-73.2,1189.0
2024-01-01,25.8,20.9,31.3,0.0,,348.0,6.6,,1016.0,,80097,7.9333,-72.5167,250.0
